#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.5614042,0.000124802,21.66716,0.09013906,0.03512318,20.01964,0.03175782,0.02429805
QSO,3.097951,0.000278173,19.66155,0.01457101,0.1380516,19.12333,0.01235552,0.09550348
QSO,3.008136,0.000518962,21.23462,0.0390793,0.2117045,20.95462,0.04234139,0.1464562
GALAXY,0.6533741,0.00025142,23.10851,0.2868353,0.1381185,21.3954,0.08990717,0.09554974
GALAXY,0.5743576,0.000109996,22.52107,0.1580793,0.2030475,20.57989,0.04253602,0.1404673
GALAXY,0.5296384,0.000366039,22.36279,0.2223007,0.121399,20.56249,0.0631502,0.08398326
GALAXY,0.1564088,1.08E-05,19.07123,0.01969982,0.2158438,18.51229,0.01823285,0.1493198
GALAXY,0.4957696,0.000139064,21.82852,0.1045864,0.08238976,20.14863,0.03902383,0.05699686
QSO,2.400897,0.000363365,20.70013,0.02811243,0.1121064,20.69817,0.04134981,0.0775547
GALAXY,0.5431796,0.000157793,21.91774,0.1045969,0.1591215,20.72911,0.05534838,0.1100795
GALAXY,0.1574489,1.48E-05,18.5961,0.01134429,0.1443007,17.81471,0.00895163,0.09982656
GALAXY,0.2598865,4.89E-05,21.46529,0.08966853,0.07973104,20.28291,0.04756408,0.05515756
GALAXY,0.08422373,9.69E-06,17.23888,0.005024585,0.06152132,16.27929,0.003734176,0.04256016
QSO,2.697163,0.000244719,19.33102,0.0108956,0.1010314,19.25608,0.01244999,0.06989307
GALAXY,0.2215673,3.54E-05,19.68571,0.02107076,0.1255763,18.30601,0.01069292,0.08687313
GALAXY,0.5071865,8.71E-05,22.23802,0.09859318,0.1651857,20.62964,0.03666259,0.1142747
GALAXY,0.61749,0.000241248,22.16943,0.1884883,0.1971082,20.56351,0.07098463,0.1363585
GALAXY,0.05441434,1.51E-05,16.92913,0.004726709,0.2101,16.12067,0.003806686,0.1453462
GALAXY,0.5474465,0.000196182,22.60437,0.2840425,0.1247876,20.67286,0.07432879,0.08632745
GALAXY,0.08372504,7.09E-06,18.96537,0.00985966,0.08551888,18.8159,0.01084912,0.05916156
GALAXY,0.09713959,1.92E-05,16.67287,0.004573982,0.08101275,15.68893,0.003265914,0.05604424
GALAXY,0.4811762,8.71E-05,21.87451,0.09757498,0.1295572,19.96741,0.02945415,0.08962708
GALAXY,0.5802376,0.000172547,22.87554,0.3013266,0.1071165,20.8505,0.07395283,0.0741027
GALAXY,0.5264784,0.000127025,22.60213,0.2324444,0.1122229,20.83895,0.06639183,0.07763527
GALAXY,0.5573456,0.000225058,23.94099,0.5451729,0.1120773,21.14484,0.07322704,0.07753456
GALAXY,0.4803753,0.000144625,22.57366,0.1890598,0.2556329,20.65883,0.05389088,0.1768457
QSO,0.766418,0.000185937,19.37131,0.01182061,0.3601941,19.38104,0.0144157,0.2491806
GALAXY,0.5814421,0.000149072,21.93306,0.174501,0.150659,20.1495,0.05825936,0.1042252
GALAXY,0.590754,0.000223949,23.08874,0.2622033,0.08182245,21.20092,0.08554643,0.0566044
GALAXY,0.3217733,4.83E-05,20.43129,0.04061422,0.1373715,18.73248,0.01466706,0.09503296
GALAXY,0.6003384,0.000187906,22.9255,0.293999,0.07786465,21.15923,0.1010916,0.0538664
GALAXY,0.4882151,0.000130175,21.90231,0.1301401,0.0701423,20.27697,0.04608981,0.04852412
QSO,2.41282,0.000604158,20.15819,0.01927191,0.06869693,20.11259,0.02420523,0.04752422
GALAXY,0.5872913,0.00020077,23.13666,0.2653368,0.05099419,21.4144,0.08125824,0.03527754
GALAXY,0.08237025,1.53E-05,16.84846,0.004509866,0.08397246,15.91235,0.003335747,0.05809176
QSO,2.407281,0.000484033,20.07627,0.01590959,0.05660604,20.10192,0.02252785,0.03915979
GALAXY,0.001445112,1.49E-05,14.89722,0.006256396,0.1786489,14.3848,0.003524505,0.1235885
GALAXY,0.09772108,9.85E-06,18.23608,0.009557265,0.1556043,17.50965,0.007495641,0.1076464
GALAXY,0.1107613,2.99E-05,17.9822,0.009550934,0.1472994,17.06914,0.006781569,0.1019011
QSO,1.986667,0.00029143,20.1861,0.02196861,0.08171864,20.26365,0.02793403,0.05653257
GALAXY,0.06089949,3.88E-05,15.87104,0.003996935,0.06010712,15.31817,0.003670283,0.04158183
QSO,1.313679,0.000502238,20.92135,0.04697358,0.1418817,20.31739,0.03970706,0.09815308
GALAXY,0.08675057,1.27E-05,18.08182,0.01010402,0.1786586,17.4793,0.008498265,0.1235952
GALAXY,0.4868211,6.16E-05,23.80985,0.6469467,0.1575943,21.19326,0.09301493,0.109023
GALAXY,0.7235346,0.000209523,25.32449,1.148306,0.1361762,22.22736,0.2566326,0.09420605
GALAXY,0.2172196,4.29E-05,18.88238,0.01405868,0.09358592,17.49427,0.007596724,0.0647423
GALAXY,0.1126992,2.93E-05,19.21304,0.01200947,0.04317917,18.1648,0.007732323,0.02987115
GALAXY,0.5159687,0.000229909,21.76915,0.1023858,0.06283182,20.70143,0.06456256,0.04346676
GALAXY,0.3089629,7.10E-05,21.37372,0.07736863,0.1103738,19.95101,0.03641725,0.07635605
GALAXY,0.568637,9.58E-05,21.43599,0.09021432,0.1302939,19.85015,0.03503449,0.09013669
QSO,1.96344,0.00053219,19.38175,0.01256614,0.09869333,19.18952,0.01370972,0.06827559
GALAXY,0.6001405,0.000162713,22.56387,0.2371052,0.1341477,21.05688,0.08851358,0.09280274
GALAXY,0.477507,0.000127568,21.38907,0.09644292,0.08383403,19.5549,0.02888305,0.05799599
GALAXY,0.5417385,7.90E-05,22.10886,0.1755935,0.07414987,20.15922,0.04925886,0.05129654
