#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.07432099,1.58E-05,17.83945,0.009906484,0.05556851,17.19371,0.00815202,0.03844204
GALAXY,0.516664,0.000193911,22.19539,0.308709,0.0983803,19.82983,0.05997055,0.06805903
QSO,2.065872,0.000382821,20.37879,0.02524793,0.03492393,20.2185,0.0274253,0.02416021
GALAXY,0.5691214,0.000109849,21.8287,0.1712605,0.04336059,20.23805,0.05812954,0.02999666
GALAXY,0.6926494,0.000307527,24.14248,1.090879,0.04189937,20.90374,0.1066404,0.02898579
GALAXY,0.1069354,3.79E-05,18.65253,0.01107646,0.05206043,17.68638,0.007452613,0.03601516
QSO,0.9971765,0.000443644,20.04374,0.01963773,0.07201458,19.89999,0.02173294,0.04981935
GALAXY,0.4384902,0.000135446,22.02327,0.1329811,0.03914428,20.22239,0.04135961,0.02707983
GALAXY,0.2089924,4.64E-05,18.96224,0.01223224,0.1909653,17.54353,0.00650441,0.1321089
QSO,2.257472,0.000308953,20.5938,0.02295496,0.2360274,20.15752,0.02114381,0.1632826
GALAXY,0.3364381,7.07E-05,19.59651,0.03083067,0.1272178,17.79514,0.01034312,0.08800866
GALAXY,0.5246605,0.000178245,22.52008,0.1491409,0.1821239,20.87798,0.05567327,0.1259924
QSO,1.886732,0.000877843,19.24776,0.01128437,0.09212524,19.07683,0.01441755,0.06373182
GALAXY,0.3093842,4.72E-05,20.22203,0.0348942,0.09219471,18.59347,0.01357996,0.06377988
GALAXY,0.4904093,0.000114789,21.912,0.1402501,0.1394245,20.23067,0.04835629,0.09645322
GALAXY,0.4886892,0.000134879,21.99587,0.1366403,0.03969071,20.14574,0.04144572,0.02745785
QSO,1.203763,0.000232944,19.31109,0.0106738,0.1583139,18.89059,0.01022343,0.1095208
GALAXY,0.05350872,2.84E-05,18.23133,0.008286599,0.1717802,17.42094,0.006468392,0.1188368
GALAXY,0.1002389,1.38E-05,17.11954,0.007206781,0.1431596,16.22068,0.005286615,0.09903713
GALAXY,0.1804832,2.59E-05,18.78006,0.009914413,0.08439714,17.43531,0.005739714,0.05838555
GALAXY,0.5509166,0.00017036,22.4354,0.1727679,0.06260405,20.86841,0.06958669,0.0433092
GALAXY,0.04102581,1.15E-05,15.89675,0.003768113,0.08960672,15.14382,0.003170003,0.06198951
GALAXY,0.126151,2.55E-05,17.50155,0.009367543,0.07300954,16.64911,0.006907967,0.05050766
GALAXY,0.4183567,7.51E-05,21.03759,0.06639911,0.1296718,19.23726,0.02295357,0.08970632
GALAXY,0.276793,3.88E-05,20.0399,0.03004658,0.08206034,18.48594,0.01196979,0.05676897
GALAXY,0.13553,3.61E-05,18.55342,0.01171428,0.2079139,17.45833,0.007215901,0.1438339
GALAXY,0.07787939,8.42E-06,16.9386,0.004435546,0.1309066,16.49329,0.004159856,0.09056057
GALAXY,0.4360028,6.15E-05,21.81254,0.132069,0.1143259,20.09209,0.0451539,0.07909015
GALAXY,0.06730211,7.58E-06,18.98861,0.01212096,0.05837638,18.73779,0.01314428,0.04038451
GALAXY,0.08435689,1.47E-05,17.57231,0.006005796,0.0913552,16.6943,0.004428884,0.06319911
GALAXY,0.08107009,1.61E-05,17.44403,0.006161229,0.1288508,16.60592,0.004915454,0.08913838
QSO,0.4975576,4.84E-05,21.95524,0.1123431,0.1020034,20.59923,0.05220214,0.07056545
QSO,2.530058,0.00066658,21.19267,0.03998603,0.2420256,21.06778,0.04802548,0.1674322
GALAXY,0.4751515,0.000183762,21.21729,0.1312489,0.1932092,19.70019,0.04963737,0.1336612
GALAXY,0.3608707,0.000100458,21.67308,0.09746157,0.1920809,19.69619,0.02690215,0.1328807
QSO,2.856009,0.000782129,20.6838,0.02947992,0.1633533,20.15185,0.0235802,0.113007
GALAXY,0.5768622,0.00016546,22.47869,0.1613191,0.04313492,20.55302,0.0457231,0.02984054
GALAXY,0.08709119,2.25E-05,17.98741,0.006947945,0.1100404,17.0975,0.00493364,0.07612541
GALAXY,0.5772026,0.000182104,22.66629,0.1486988,0.06504018,21.39996,0.07408103,0.04499449
GALAXY,0.1495905,7.57E-06,19.67768,0.01549841,0.1241489,19.16723,0.01340199,0.08588563
QSO,2.29828,0.000188527,19.74343,0.01689814,0.134982,19.76991,0.02128814,0.09337996
GALAXY,0.09207308,1.76E-05,17.83756,0.006322152,0.135923,16.85917,0.004420715,0.09403091
GALAXY,0.1927191,7.40E-06,18.75768,0.009552757,0.03383924,18.38235,0.009563113,0.02340983
GALAXY,0.6188596,0.000176701,22.31571,0.2019983,0.0682205,20.55011,0.06331258,0.04719462
GALAXY,0.6117812,0.000284299,22.87252,0.2452726,0.08858148,21.42176,0.1109428,0.06128026
GALAXY,0.6310421,0.000338221,23.6111,0.4382547,0.09429646,21.62145,0.1162038,0.06523386
QSO,1.408954,0.000390699,20.98519,0.03522238,0.02709382,20.51982,0.03148331,0.01874338
GALAXY,0.4906289,0.000220784,22.26014,0.1554051,0.0371729,20.68356,0.06025283,0.02571604
GALAXY,0.0108324,1.11E-05,19.3348,0.01976063,0.03933958,18.91464,0.02026978,0.02721494
QSO,3.493136,0.000472503,20.73538,0.03320511,0.03230654,19.65915,0.01831907,0.02234951
GALAXY,0.6509381,0.000257707,22.58902,0.2653028,0.1859298,20.83466,0.08501384,0.1286254
GALAXY,0.06968947,5.88E-05,18.37886,0.01582783,0.1289472,17.78422,0.01586447,0.08920504
GALAXY,0.3589381,0.000102588,21.24667,0.06113674,0.3031448,19.25707,0.0172351,0.2097142
QSO,1.267668,0.000407867,19.47165,0.01370963,0.1583103,19.10369,0.01455875,0.1095183
GALAXY,0.6079867,0.000166802,24.13939,0.7507696,0.2329637,21.39581,0.1096015,0.1611632
GALAXY,0.4931216,0.000140841,21.95765,0.1517859,0.07412846,20.0499,0.04580072,0.05128172
GALAXY,0.460769,9.38E-05,21.8376,0.1054258,0.06754515,20.11804,0.03549365,0.04672742
GALAXY,0.6386201,0.000269763,24.03334,0.7058343,0.1152329,21.45142,0.1248254,0.07971758
GALAXY,0.5188611,0.000128036,22.13288,0.1773576,0.09453811,20.40351,0.05288826,0.06540103
GALAXY,0.3783287,0.00012678,20.67369,0.04151537,0.03967115,18.90351,0.01559878,0.02744432
QSO,0.2313946,3.50E-05,19.06902,0.02071892,0.0295177,17.75097,0.01046551,0.02042021
GALAXY,0.4297141,0.000127211,22.48377,0.1323105,0.04620348,20.5044,0.03797984,0.03196336
GALAXY,0.05848105,1.10E-05,15.72376,0.002843807,0.1496731,14.85664,0.002413835,0.1035431
GALAXY,0.1067354,2.79E-05,18.51697,0.008451465,0.05361571,17.50444,0.005727956,0.0370911
GALAXY,0.285543,6.31E-05,20.03862,0.02688613,0.1012666,18.38593,0.01099798,0.07005579
QSO,0.9374466,0.00019792,20.16008,0.01785495,0.03495846,19.99349,0.02296116,0.0241841
GALAXY,0.5806687,0.000295907,21.86774,0.1186368,0.05389576,20.56061,0.05872875,0.03728484
GALAXY,0.06764261,1.49E-05,17.08031,0.004517558,0.1079546,16.17247,0.003461361,0.0746825
GALAXY,0.5828524,0.00023012,22.62578,0.3205466,0.08763086,20.2017,0.05503038,0.06062262
GALAXY,0.09050786,2.96E-05,18.52063,0.0093797,0.1191485,17.58304,0.006181209,0.0824264
