#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
QSO,0.7295387,0.000208968,19.19793,0.01124023,0.08922354,19.25862,0.01424106,0.06172444
GALAXY,0.5397395,0.0002192799,22.16691,0.1597597,0.05480209,20.69972,0.06886152,0.03791183
GALAXY,0.04423883,6.950853E-06,17.23612,0.006735096,0.1697101,16.80981,0.006582408,0.1174046
QSO,1.014946,0.0003569554,19.16977,0.01069862,0.140258,18.86503,0.01195071,0.09702983
GALAXY,0.4114738,9.441063E-05,21.02269,0.08794203,0.1253883,19.32199,0.02884509,0.08674306
GALAXY,0.06040028,1.926063E-05,16.88612,0.005398529,0.0866324,16.06264,0.004099978,0.0599319
GALAXY,0.1223662,3.586408E-05,18.78607,0.01264643,0.3193742,17.75774,0.008320055,0.2209416
GALAXY,0.04152038,1.093981E-05,16.21047,0.003507834,0.1615758,15.36833,0.002915609,0.1117774
GALAXY,0.3134164,9.78555E-05,22.25265,0.1326662,0.1922885,20.34715,0.03663735,0.1330243
GALAXY,0.05209545,1.213345E-05,15.27447,0.002636791,0.08573442,14.25718,0.002079796,0.05931067
GALAXY,0.1835756,2.302604E-05,18.54697,0.01225153,0.06794984,17.5716,0.008127795,0.04700739
GALAXY,0.4069383,5.161334E-05,21.99838,0.1310467,0.08873568,20.76569,0.05492083,0.06138693
GALAXY,0.127548,3.509214E-05,18.85827,0.01100732,0.1169236,17.81627,0.007020887,0.08088722
GALAXY,0.7587355,0.0002169423,22.86658,0.3315132,0.1818797,21.29316,0.1275225,0.1258235
GALAXY,0.1673209,1.233355E-05,18.21523,0.009077501,0.04924605,17.50849,0.007000332,0.03406819
GALAXY,0.3030018,6.601342E-05,19.92736,0.03276796,0.03296895,18.34896,0.01381303,0.02280777
GALAXY,0.5626717,0.0001349167,21.19789,0.1108811,0.03657826,19.63137,0.04305976,0.02530467
GALAXY,0.4327587,9.611177E-05,21.11635,0.07450952,0.14362,19.33829,0.02361566,0.09935567
QSO,2.214014,0.0005515194,20.22085,0.0203228,0.0860789,20.10522,0.02518975,0.05954899
GALAXY,0.05774713,1.634729E-05,17.57322,0.006085485,0.1622985,16.65857,0.00431183,0.1122774
QSO,2.118109,0.0004823361,19.12885,0.009815538,0.04081901,18.6502,0.008742586,0.0282384
GALAXY,0.03551888,1.484427E-05,15.95027,0.004025097,0.153319,14.9668,0.003142931,0.1060654
QSO,0.6937535,8.465262E-05,19.93355,0.01660755,0.09574468,19.84309,0.01975127,0.06623572
GALAXY,0.7205179,0.0001830766,23.06146,0.263046,0.1655667,21.05098,0.07152662,0.1145383
GALAXY,0.4988727,0.0001327232,22.25859,0.1706865,0.0505486,20.42485,0.05156302,0.03496929
GALAXY,0.3524305,6.573551E-05,20.75185,0.04482166,0.1041351,19.04783,0.01607149,0.07204016
GALAXY,0.08167676,2.865041E-05,18.39673,0.008650223,0.08474014,17.5283,0.00607623,0.05862284
QSO,2.144719,0.000331702,18.78496,0.008271706,0.09232251,18.70861,0.009030983,0.06386829
QSO,1.314668,0.0002769443,18.30467,0.006866827,0.02154476,18.13969,0.007122264,0.01490457
GALAXY,0.1483655,3.158131E-05,18.38525,0.009178805,0.05324797,17.26616,0.005783215,0.03683669
GALAXY,0.474802,2.996445E-05,21.81375,0.0707072,0.06667476,20.49669,0.03540823,0.04612529
